slug,name,category,chain_main,chains,max_tvl,tvl_bin,ever_exploited,is_exploited_eventlevel,ever_audited,any_top_firm,audit_firm_count,contract_address,compiler_version,verified_source_found
archly-v1,Archly V1,Dexs,Arbitrum Nova,Arbitrum Nova;Telos;Base;Binance;Polygon;Arbitrum;Optimism;Fantom;Kava,4276.96450674334,Q2,0,0,0,0,0,,,0
arbswap-stableswap,Arbswap StableSwap,Dexs,Arbitrum Nova,Arbitrum Nova;Arbitrum,1185.767661338857,Q2,0,0,0,0,0,,,0
liquid-finance-protocol,Liquid Finance Protocol,Liquid Staking,Archway,Archway,9795.80628671021,Q2,0,0,0,0,0,,,0
eden-finance,Eden Finance,Lending,Asset Chain,Asset Chain,99.95356828156676,Q2,0,0,0,0,0,,,0
sirius-finance,Sirius Finance,Dexs,Astar,Astar,7547.289368044697,Q2,0,0,0,0,0,,,0
starfish-finance,Starfish Finance,Dexs,Astar,Astar,1412.17044907656,Q2,0,0,0,0,0,,,0
adao,ADAO,Yield,Astar,Astar,1717.3624255024824,Q2,0,0,0,0,0,,,0
versa-finance,Versa Finance,Dexs,Astar,Astar,3756.395513302914,Q2,0,0,0,0,0,,,0
avault,Avault,Yield Aggregator,Astar,Astar,4404.4887196747695,Q2,0,0,0,0,0,,,0
c14,C14,Lending,Astar zkEVM,Astar zkEVM,2143.9692164987464,Q2,0,0,0,0,0,,,0
l2x.pro,L2X.pro,Dexs,Astar zkEVM,Astar zkEVM,1432.595910571275,Q2,0,0,0,0,0,,,0
verylongswap-farm,VeryLongSwap Farm,Farm,Astar zkEVM,Astar zkEVM,861.367873286551,Q2,0,0,0,0,0,,,0
amaterasu-finance,Amaterasu Finance,Dexs,Aurora,Aurora,7779.845050530012,Q2,0,0,0,0,0,,,0
arctic,Arctic,Dexs,Aurora,Aurora,1653.696468768192,Q2,0,0,0,0,0,,,0
polaris-finance,Polaris Finance,Dexs,Aurora,Aurora;Telos,11728.901060075365,Q2,0,0,0,0,0,,,0
crafting-finance,Crafting Finance,Synthetics,Aurora,Aurora;Ethereum,9923.286579189273,Q2,0,0,0,0,0,,,0
pinkpea-finance,PinkPea Finance,Yield Aggregator,Aurora,Aurora,3300.2909328153783,Q2,0,0,0,0,0,,,0
spiritdao,SpiritDAO,Reserve Currency,Avalanche,Avalanche,2031.94661249736,Q2,0,0,0,0,0,,,0
the-dragons-lair,The Dragon's Lair,Yield,Avalanche,Avalanche,117.1495725768156,Q2,0,0,0,0,0,,,0
