slug,name,symbol,category,tvl,chains,has_audit_strict,has_contest,has_security_review_broad,num_audits_strict,num_contests,audit_event_count_strict,contest_event_count,security_review_event_count_total,last_audit_date_strict,last_contest_date,last_security_review_date,audit_recency_years_strict,audit_firm_count,any_top_firm,audit_firm_tier,audit_score,strict_sources_seen,contest_sources_seen,all_sources_seen,audit_firms_strict
debank-cloud,DeBank Cloud,-,Developer Tools,,,0,1,1,0,8,0,8,8,,2025-08-15 18:10:17+00:00,2025-08-15 18:10:17+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
debtdao,DebtDAO,-,Lending,0.0,Ethereum,0,1,1,0,8,0,8,8,,2022-10-14 09:35:29+00:00,2022-10-14 09:35:29+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
decentralized-euro,Decentralized Euro,-,CDP,1453077.4148730151,Ethereum,0,1,1,0,8,0,8,8,,2024-01-13 09:57:25+00:00,2024-01-13 09:57:25+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
delegate-marketplace,Delegate Marketplace,-,Services,1129.2610002221882,Ethereum,0,1,1,0,8,0,8,8,,2023-08-30 14:32:32+00:00,2023-08-30 14:32:32+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
dinari,Dinari,-,RWA,45423252.94634685,Arbitrum;Ethereum;Kinto;Base;Plume Mainnet;Blast,0,1,1,0,8,0,8,8,,2023-08-03 15:11:10+00:00,2023-08-03 15:11:10+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
ditto,Ditto,-,Liquid Staking,91193.06480035752,Aptos,0,1,1,0,16,0,16,16,,2024-06-28 21:21:11+00:00,2024-06-28 21:21:11+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
dodo-agg,DODO Agg,DODO,DEX Aggregator,,,0,1,1,0,32,0,32,32,,2024-02-01 13:21:22+00:00,2024-02-01 13:21:22+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
dswap,Dswap,-,Dexs,47893407.400072016,ENI,0,1,1,0,4,0,4,4,,2024-10-25 18:51:59+00:00,2024-10-25 18:51:59+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
duality,Duality,-,Dexs,3147591.70097471,Neutron,0,1,1,0,8,0,8,8,,2022-04-01 19:44:00+00:00,2022-04-01 19:44:00+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
dyad,DYAD,-,CDP,65511.24541812074,Ethereum,0,1,1,0,8,0,8,8,,2024-04-18 13:33:17+00:00,2024-04-18 13:33:17+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
