protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile,slug,in_llama,protocol_norm,slug_mapped,slug_final
L1BossBridge,audit_report_firm,OpenZeppelin,,,https://github.com/AlbertoGuirado/L1BossBridge/blob/3590f7f3b739c5a6008f9c19f5aed46ae89de9a4/audit/reportByAderyn.md,"repo=AlbertoGuirado/L1BossBridge; path=audit/reportByAderyn.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,l1bossbridge,,
AuditGuide,audit_report_firm,OpenZeppelin,,,https://github.com/toplustar/AuditGuide/blob/124c06d92f86551c653e841b26fda4518d6d5048/Audit/ref/rajeev.md,"repo=toplustar/AuditGuide; path=Audit/ref/rajeev.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,auditguide,,
VSkill,audit_report_firm,OpenZeppelin,,,https://github.com/cqlyj/VSkill/blob/fcffa3d70396a7d08a6cbd6e9ea8d47db3b6ec25/audit/v1/audit-data/report.md,"repo=cqlyj/VSkill; path=audit/v1/audit-data/report.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,vskill,,
VSkill,audit_report_firm,OpenZeppelin,,,https://github.com/cqlyj/VSkill/blob/fcffa3d70396a7d08a6cbd6e9ea8d47db3b6ec25/audit/v2/audit-data/report.md,"repo=cqlyj/VSkill; path=audit/v2/audit-data/report.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,vskill,,
VSkill,audit_report_firm,OpenZeppelin,,,https://github.com/cqlyj/VSkill/blob/fcffa3d70396a7d08a6cbd6e9ea8d47db3b6ec25/audit/v1/audit-data/findings.md,"repo=cqlyj/VSkill; path=audit/v1/audit-data/findings.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,vskill,,
VSkill,audit_report_firm,OpenZeppelin,,,https://github.com/cqlyj/VSkill/blob/fcffa3d70396a7d08a6cbd6e9ea8d47db3b6ec25/audit/v2/audit-data/findings.md,"repo=cqlyj/VSkill; path=audit/v2/audit-data/findings.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,vskill,,
kaia-contracts,audit_report_firm,OpenZeppelin,,2017-03-15T00:00:00Z,https://github.com/kaiachain/kaia-contracts/blob/808b116c19d24792ef7a5a928a1874bf1fa05e0d/audit/2017-03.md,"repo=kaiachain/kaia-contracts; path=audit/2017-03.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,kaia,,
contracts,audit_report_firm,OpenZeppelin,,2023-02-15T00:00:00Z,https://github.com/bazaar-buidlers/contracts/blob/bc0bbf44d7d5d9ecdcb163797f8bc483446ce3f7/audit/2023-02_Bazaar_Audit_Report.md,"repo=bazaar-buidlers/contracts; path=audit/2023-02_Bazaar_Audit_Report.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,,,
VSkill,audit_report_firm,OpenZeppelin,,,https://github.com/cqlyj/VSkill/blob/fcffa3d70396a7d08a6cbd6e9ea8d47db3b6ec25/audit/v2/audit-data/adeyrn-report.md,"repo=cqlyj/VSkill; path=audit/v2/audit-data/adeyrn-report.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,vskill,,
concrete-earn-v2-security-audit,audit_report_firm,OpenZeppelin,,,https://github.com/avaloki108/concrete-earn-v2-security-audit/blob/d13efe808829607e254d03dce0919f269fb18d96/audit/02-SlitherAnalysis/SLITHER-SUMMARY.md,"repo=avaloki108/concrete-earn-v2-security-audit; path=audit/02-SlitherAnalysis/SLITHER-SUMMARY.md; kw=openzeppelin; q=""openzeppelin"" path:audit extension:md",audit_events_github_reports.csv,,0,concrete earn v2 security audit,,
