protocol_name_raw,source,audit_firm_raw,audit_score,audit_date,evidence_url,notes,__srcfile,org,repo_name,protocol_guess,slug,in_llama,protocol_norm,slug_mapped,slug_final
mellow,code4rena,Code4rena,,2021-11-09T14:02:12Z,https://github.com/code-423n4/2021-12-mellow,repo=2021-12-mellow,audit_events_code4rena.csv,,,,,1,mellow,mellow,mellow
yaxis,code4rena,Code4rena,,2021-11-10T22:57:46Z,https://github.com/code-423n4/2021-11-yaxis-findings,repo=2021-11-yaxis-findings,audit_events_code4rena.csv,,,,,1,yaxis,yaxis,yaxis
yaxis,code4rena,Code4rena,,2021-11-10T23:00:28Z,https://github.com/code-423n4/2021-11-yaxis,repo=2021-11-yaxis,audit_events_code4rena.csv,,,,,1,yaxis,yaxis,yaxis
badgerzaps,code4rena,Code4rena,,2021-11-12T22:08:42Z,https://github.com/code-423n4/2021-11-badgerzaps,repo=2021-11-badgerzaps,audit_events_code4rena.csv,,,,,0,badgerzaps,,
badgerzaps,code4rena,Code4rena,,2021-11-12T22:10:35Z,https://github.com/code-423n4/2021-11-badgerzaps-findings,repo=2021-11-badgerzaps-findings,audit_events_code4rena.csv,,,,,0,badgerzaps,,
perennial,code4rena,Code4rena,,2021-11-15T18:09:40Z,https://github.com/code-423n4/2021-12-perennial-findings,repo=2021-12-perennial-findings,audit_events_code4rena.csv,,,,,1,perennial,perennial-v2,perennial-v2
perennial,code4rena,Code4rena,,2021-11-15T18:11:09Z,https://github.com/code-423n4/2021-12-perennial,repo=2021-12-perennial,audit_events_code4rena.csv,,,,,1,perennial,perennial-v2,perennial-v2
streaming,code4rena,Code4rena,,2021-11-17T17:48:02Z,https://github.com/code-423n4/2021-11-streaming,repo=2021-11-streaming,audit_events_code4rena.csv,,,,,1,streaming,re,re
streaming,code4rena,Code4rena,,2021-11-17T17:48:37Z,https://github.com/code-423n4/2021-11-streaming-findings,repo=2021-11-streaming-findings,audit_events_code4rena.csv,,,,,1,streaming,re,re
malt,code4rena,Code4rena,,2021-11-18T01:56:52Z,https://github.com/code-423n4/2021-11-malt,repo=2021-11-malt,audit_events_code4rena.csv,,,,,0,malt,,
malt,code4rena,Code4rena,,2021-11-18T02:00:53Z,https://github.com/code-423n4/2021-11-malt-findings,repo=2021-11-malt-findings,audit_events_code4rena.csv,,,,,0,malt,,
sublime,code4rena,Code4rena,,2021-11-19T21:29:59Z,https://github.com/code-423n4/2021-12-sublime-findings,repo=2021-12-sublime-findings,audit_events_code4rena.csv,,,,,0,sublime,,
sublime,code4rena,Code4rena,,2021-11-19T21:33:16Z,https://github.com/code-423n4/2021-12-sublime,repo=2021-12-sublime,audit_events_code4rena.csv,,,,,0,sublime,,
fei,code4rena,Code4rena,,2021-11-22T20:05:46Z,https://github.com/code-423n4/2021-11-fei-findings,repo=2021-11-fei-findings,audit_events_code4rena.csv,,,,,1,fei,fei-protocol,fei-protocol
fei,code4rena,Code4rena,,2021-11-22T20:08:53Z,https://github.com/code-423n4/2021-11-fei,repo=2021-11-fei,audit_events_code4rena.csv,,,,,1,fei,fei-protocol,fei-protocol
pooltogether,code4rena,Code4rena,,2021-12-02T15:04:07Z,https://github.com/code-423n4/2021-12-pooltogether-findings,repo=2021-12-pooltogether-findings,audit_events_code4rena.csv,,,,,1,pooltogether,pooltogether-v5,pooltogether-v5
pooltogether,code4rena,Code4rena,,2021-12-02T15:07:43Z,https://github.com/code-423n4/2021-12-pooltogether,repo=2021-12-pooltogether,audit_events_code4rena.csv,,,,,1,pooltogether,pooltogether-v5,pooltogether-v5
defiprotocol,code4rena,Code4rena,,2021-12-03T20:46:33Z,https://github.com/code-423n4/2021-12-defiprotocol-findings,repo=2021-12-defiprotocol-findings,audit_events_code4rena.csv,,,,,0,defiprotocol,,
