match_key,protocol_id,protocol_slug_final
ethereum:0xd9d920aa40f578ab794426f5c90f6c731d159def,parent#crvusd,crvusd
ethereum:0xda4df6e2121edab7c33ed7fe0f109350939eda84,parent#unmapped,unmapped
ethereum:0xda58927f4065f1d02a6ea850c2aac49d7362a643,parent#unmapped,unmapped
ethereum:0xda842fad0bdb105c88399e845ad4d00de3aeb911,parent#tenet,tenet
ethereum:0xda89af5bf2eb0b225d787abfa9095610f2e79e7d,parent#01,01
ethereum:0xdac09f37e132d91b962f30e6ec40d2d08b82b0fa,parent#unmapped,unmapped
ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,parent#convex-finance,convex-finance
ethereum:0xdac29737b5fb121f11ee7f17db0212f82b4ab009,parent#crvusd,crvusd
ethereum:0xdaeada3d210d2f45874724beea03c7d4bbd41674,parent#unmapped,unmapped
ethereum:0xdb9daa0a50b33e4fe9d0ac16a1df1d335f96595e,parent#unmapped,unmapped
ethereum:0xdbf72370021babafbceb05ab10f99ad275c6220a,parent#unmapped,unmapped
ethereum:0xdc4e6dfe07efca50a197df15d9200883ef4eb1c8,parent#angle,angle
ethereum:0xdc68450bfe4e16d74b20c44dda83662cf2f5f0c0,parent#defi-yield-protocol,defi-yield-protocol
ethereum:0xdc9ac3c20d1ed0b540df9b1fedc10039df13f99c,parent#unmapped,unmapped
ethereum:0xdd276dc5223d0120f9bf1776f38957cc8da23cb0,parent#01,01
ethereum:0xdd80e21669a664bce83e3ad9a0d74f8dad5d9e72,parent#unmapped,unmapped
ethereum:0xdd82875f0840aad58a455a70b88eed9f59cec7c7,parent#unmapped,unmapped
ethereum:0xdd974d5c2e2928dea5f71b9825b8b646686bd200,parent#unmapped,unmapped
ethereum:0xdddddd4301a082e62e84e43f474f044423921918,parent#01,01
ethereum:0xde0220b69ce3e855a0124433a8e8d093f53a6be4,parent#01,01
ethereum:0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,parent#vanilla,vanilla
ethereum:0xdf2c270f610dc35d8ffda5b453e74db5471e126b,parent#unmapped,unmapped
ethereum:0xdf2c499306de58294bde422484c7091bfeca5bde,parent#unmapped,unmapped
ethereum:0xdf4ef6ee483953fe3b84abd08c6a060445c01170,parent#01,01
ethereum:0xdf4f609134a84aae1d18dce8d863b099c6455598,parent#unmapped,unmapped
ethereum:0xdfac83173a96b06c5d6176638124d028269cfcd2,parent#unmapped,unmapped
ethereum:0xdfd9e2a17596cad6295ecffda42d9b6f63f7b5d5,parent#unmapped,unmapped
ethereum:0xdfdb7f72c1f195c5951a234e8db9806eb0635346,parent#unmapped,unmapped
ethereum:0xdfdca55a5a07e154f18368893692ddd7c0243d4c,parent#unmapped,unmapped
ethereum:0xdfef6416ea3e6ce587ed42aa7cb2e586362cbbfa,parent#unmapped,unmapped
ethereum:0xdff2aea378e41632e45306a6de26a7e0fd93ab07,parent#crvusd,crvusd
ethereum:0xe00a44e1210bae0eaceeeaf202c349d4b16480fe,parent#mev-capital,mev-capital
ethereum:0xe0705a91984b076c250d410a41f615380af1c2ed,parent#unmapped,unmapped
ethereum:0xe07ea0436100918f157df35d01dce5c11b16d1f1,parent#unmapped,unmapped
ethereum:0xe0a80d35bb6618cba260120b279d357978c42bce,parent#reservoir-protocol,reservoir-protocol
